year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2017,375039,Emmanuel Hackman,Togo,0,1,6,1,833,https://img.a.transfermarkt.technology/portrait/header/375039-1444046037.jpg?lm=1
2017,77663,Khaleem Hyland,Trinidad and Tobago,1,0,1,1,784,https://img.a.transfermarkt.technology/portrait/header/77663-1487775686.jpg?lm=1
2017,191407,Oussama Haddadi,Tunisia,0,2,6,1,2145,https://img.a.transfermarkt.technology/portrait/header/191407-1546589923.jpg?lm=1
2017,204347,Larry Azouni,Tunisia,1,1,2,1,637,https://img.a.transfermarkt.technology/portrait/header/s_204347_1158_2012_1.jpg?lm=1
2017,18547,Ali Turan,Turkey,0,0,8,1,2645,https://img.a.transfermarkt.technology/portrait/header/18547-1572953204.png?lm=1
2017,34753,Deniz Yilmaz,Turkey,2,0,1,1,931,https://img.a.transfermarkt.technology/portrait/header/34753-1471102171.jpg?lm=1
2017,36200,Olcay Sahan,Turkey,4,10,6,1,2406,https://img.a.transfermarkt.technology/portrait/header/36200-1534676709.png?lm=1
2017,37216,Ceyhun Gülselam,Turkey,0,2,11,1,2591,https://img.a.transfermarkt.technology/portrait/header/37216-1660653717.png?lm=1
2017,99186,Alper Potuk,Turkey,2,3,12,1,2274,https://img.a.transfermarkt.technology/portrait/header/99186-1663954817.png?lm=1
2017,157588,Ahmet Ilhan Özek,Turkey,2,6,1,1,1535,https://img.a.transfermarkt.technology/portrait/header/157588-1667390947.png?lm=1
2017,165711,Erkan Kas,Turkey,0,4,4,1,1294,https://img.a.transfermarkt.technology/portrait/header/165711-1612445612.jpeg?lm=1
2017,188942,Tugay Kacar,Turkey,0,1,1,1,456,https://img.a.transfermarkt.technology/portrait/header/188942-1680121773.png?lm=1
2017,74641,İsmail Köybaşı,Türkiye,0,3,5,1,1634,https://img.a.transfermarkt.technology/portrait/header/74641-1727795961.png?lm=1
2017,98131,Zeki Yavru,Türkiye,0,1,4,1,1031,https://img.a.transfermarkt.technology/portrait/header/98131-1730128174.JPG?lm=1
