year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2022,478940,Reggie Cannon,United States,0,0,10,0,2533,https://img.a.transfermarkt.technology/portrait/header/478940-1583511873.jpg?lm=1
2022,535282,Sam Vines,United States,1,2,2,0,2238,https://img.a.transfermarkt.technology/portrait/header/535282-1709401952.jpg?lm=1
2022,482493,Ian Harkes,United States,1,2,4,0,2157,https://img.a.transfermarkt.technology/portrait/header/482493-1521049224.jpg?lm=1
2022,393321,James Sands,United States,0,0,8,0,2102,https://img.a.transfermarkt.technology/portrait/header/393321-1618691652.jpg?lm=1
2022,332705,Tyler Adams,United States,0,1,7,0,2071,https://img.a.transfermarkt.technology/portrait/header/332705-1666472142.jpg?lm=1
2022,526111,Alex Méndez,United States,1,0,10,0,2004,https://img.a.transfermarkt.technology/portrait/header/526111-1625479222.jpg?lm=1
2022,503991,Yunus Musah,United States,1,2,10,0,1962,https://img.a.transfermarkt.technology/portrait/header/503991-1684913655.jpg?lm=1
2022,504153,Joe Scally,United States,1,0,3,0,1955,https://img.a.transfermarkt.technology/portrait/header/504153-1662965954.jpg?lm=1
2022,369081,Federico Valverde,Uruguay,9,5,6,0,3430,https://img.a.transfermarkt.technology/portrait/header/369081-1731018042.jpg?lm=1
2022,354362,Rodrigo Bentancur,Uruguay,5,6,13,0,3375,https://img.a.transfermarkt.technology/portrait/header/354362-1596001806.jpg?lm=1
2022,102423,Leandro Cabrera,Uruguay,1,0,5,1,3208,https://img.a.transfermarkt.technology/portrait/header/102423-1500024381.jpg?lm=1
2022,102427,Sebastián Coates,Uruguay,0,0,11,0,3076,https://img.a.transfermarkt.technology/portrait/header/102427-1666100911.jpg?lm=1
2022,311044,Alfonso Espino,Uruguay,0,5,6,0,3058,https://img.a.transfermarkt.technology/portrait/header/311044-1635328827.jpg?lm=1
2022,250845,José María Giménez,Uruguay,1,1,12,1,2880,https://img.a.transfermarkt.technology/portrait/header/250845-1664970029.jpg?lm=1
2022,367652,Rodrigo Abascal,Uruguay,1,3,10,0,2644,https://img.a.transfermarkt.technology/portrait/header/367652-1581877880.jpg?lm=1
2022,476701,Manuel Ugarte,Uruguay,0,2,9,0,2588,https://img.a.transfermarkt.technology/portrait/header/476701-1715107512.jpg?lm=1
